Fields group,Management of the resource,,,,,,,,,,,Description of Persons,,,,,,,,,,,,,Link(s) to related ressources,,,,,,Rights,,
,,,,,,,,,,,,,,,,,,Life Events,,,,,,,Relationships with the text,,Relationships with Person,,Authorities,,,,
Fields,Identifier of the resource,Origin of the metadata,DHARMA import,Editor of the metadata,Date of the edition,Contributor of the metadata,Reviewer,Date of review,Project,Corpus,Distribution rights of the metadata,Identifier,Name,Langue,Type,Sex,Type of Person,Birth notBefore,Death notBefore,Birth notAfter,Death notAfter,Occupation,Floruit,Bibliography,Identifier of the text,Relationship description,Identifier of the person,Relationship description,Name of the authority,Identifier,Rights holder,Institution responsible of the distribution,Distribution rights
Description of the fields,"Identifier of the person. 
 Syntax: PSN00001",Origin of the metadata: database or publication,Date of conversion of previously available metadata to the DHARMA model,"Person(s) who supplied metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)",Start date of metadata input/editing for DHARMA (YYYY-MM-DD),"Person(s) who entered/edited metadata (use the DHARMA members' Ids and separate them by $, if more than one editor)","Validating person (use the DHARMA members' Ids and separate them by $, if more than one editor)",Date of metadata validation (YYYY-MM-DD),Project responsible for making these metadata available,Corpus to which the inscription pertains,Licence applicable to metadata,Identifier of the person.,Name of the person as found in the file.,Define the language of the previous name,"Qualify the previous name, value from a closed list",Code to be defined depending our use,Type of Person. Value to be chosen from a closed list for Keyword purposes,Maximum date of birth,Maximum date of death,Minimum date of Birth,Minimum date of Death,Equivalent of <roleName>,Possibility to give information (free text) about a person's period of activity. Could be used for a biographic.,Possibility to give bibliographic information related to the person,Identifier of the text,Relationship to be defined according the Cidoc-crm: ecrm:P129i_is_subject_of,Identifier of the person connected to the person described,Relationship will be defined according RDF model. Closed list.,Name of the authority,Identifier of the person described in this authority list,Rights holder of the person (generally the ministry),"Institution responsible of the artefact, and particularly of its distribution",Distribution rights of the artefact
,PSN00058,,,,,,,,,DHARMA,CC0,PSN00058,,,,,,,,,,,,,,,,,,,,,
,PSN00059,,,,,,,,,DHARMA,CC0,PSN00059,,,,,,,,,,,,,,,,,,,,,
,PSN00060,,,,,,,,,DHARMA,CC0,PSN00060,,,,,,,,,,,,,,,,,,,,,
,PSN00061,,,,,,,,,DHARMA,CC0,PSN00061,,,,,,,,,,,,,,,,,,,,,
,PSN00062,,,,,,,,,DHARMA,CC0,PSN00062,,,,,,,,,,,,,,,,,,,,,
,PSN00063,,,,,,,,,DHARMA,CC0,PSN00063,,,,,,,,,,,,,,,,,,,,,
,PSN00064,,,,,,,,,DHARMA,CC0,PSN00064,,,,,,,,,,,,,,,,,,,,,
,PSN00065,,,,,,,,,DHARMA,CC0,PSN00065,,,,,,,,,,,,,,,,,,,,,
,PSN00066,,,,,,,,,DHARMA,CC0,PSN00066,,,,,,,,,,,,,,,,,,,,,
,PSN00067,,,,,,,,,DHARMA,CC0,PSN00067,,,,,,,,,,,,,,,,,,,,,
,PSN00068,,,,,,,,,DHARMA,CC0,PSN00068,,,,,,,,,,,,,,,,,,,,,
,PSN00069,,,,,,,,,DHARMA,CC0,PSN00069,,,,,,,,,,,,,,,,,,,,,
,PSN00070,,,,,,,,,DHARMA,CC0,PSN00070,,,,,,,,,,,,,,,,,,,,,
,PSN00071,,,,,,,,,DHARMA,CC0,PSN00071,,,,,,,,,,,,,,,,,,,,,
,PSN00072,,,,,,,,,DHARMA,CC0,PSN00072,,,,,,,,,,,,,,,,,,,,,
,PSN00073,,,,,,,,,DHARMA,CC0,PSN00073,,,,,,,,,,,,,,,,,,,,,
,PSN00074,,,,,,,,,DHARMA,CC0,PSN00074,,,,,,,,,,,,,,,,,,,,,
,PSN00075,,,,,,,,,DHARMA,CC0,PSN00075,,,,,,,,,,,,,,,,,,,,,
,PSN00076,,,,,,,,,DHARMA,CC0,PSN00076,,,,,,,,,,,,,,,,,,,,,
,PSN00077,,,,,,,,,DHARMA,CC0,PSN00077,,,,,,,,,,,,,,,,,,,,,
,PSN00078,,,,,,,,,DHARMA,CC0,PSN00078,,,,,,,,,,,,,,,,,,,,,
,PSN00079,,,,,,,,,DHARMA,CC0,PSN00079,,,,,,,,,,,,,,,,,,,,,
,PSN00080,,,,,,,,,DHARMA,CC0,PSN00080,,,,,,,,,,,,,,,,,,,,,
,PSN00081,,,,,,,,,DHARMA,CC0,PSN00081,,,,,,,,,,,,,,,,,,,,,
,PSN00082,,,,,,,,,DHARMA,CC0,PSN00082,,,,,,,,,,,,,,,,,,,,,
,PSN00083,,,,,,,,,DHARMA,CC0,PSN00083,,,,,,,,,,,,,,,,,,,,,
,PSN00084,,,,,,,,,DHARMA,CC0,PSN00084,,,,,,,,,,,,,,,,,,,,,
,PSN00085,,,,,,,,,DHARMA,CC0,PSN00085,,,,,,,,,,,,,,,,,,,,,
,PSN00086,,,,,,,,,DHARMA,CC0,PSN00086,,,,,,,,,,,,,,,,,,,,,
,PSN00087,,,,,,,,,DHARMA,CC0,PSN00087,,,,,,,,,,,,,,,,,,,,,
,PSN00088,,,,,,,,,DHARMA,CC0,PSN00088,,,,,,,,,,,,,,,,,,,,,
,PSN00089,,,,,,,,,DHARMA,CC0,PSN00089,,,,,,,,,,,,,,,,,,,,,
,PSN00090,,,,,,,,,DHARMA,CC0,PSN00090,,,,,,,,,,,,,,,,,,,,,
,PSN00091,,,,,,,,,DHARMA,CC0,PSN00091,,,,,,,,,,,,,,,,,,,,,
,PSN00092,,,,,,,,,DHARMA,CC0,PSN00092,,,,,,,,,,,,,,,,,,,,,
,PSN00093,,,,,,,,,DHARMA,CC0,PSN00093,,,,,,,,,,,,,,,,,,,,,
,PSN00094,,,,,,,,,DHARMA,CC0,PSN00094,,,,,,,,,,,,,,,,,,,,,
,PSN00095,,,,,,,,,DHARMA,CC0,PSN00095,,,,,,,,,,,,,,,,,,,,,
,PSN00096,,,,,,,,,DHARMA,CC0,PSN00096,,,,,,,,,,,,,,,,,,,,,
,PSN00097,,,,,,,,,DHARMA,CC0,PSN00097,,,,,,,,,,,,,,,,,,,,,
,PSN00098,,,,,,,,,DHARMA,CC0,PSN00098,,,,,,,,,,,,,,,,,,,,,
,PSN00099,,,,,,,,,DHARMA,CC0,PSN00099,,,,,,,,,,,,,,,,,,,,,
,PSN00100,,,,,,,,,DHARMA,CC0,PSN00100,,,,,,,,,,,,,,,,,,,,,
,PSN00101,,,,,,,,,DHARMA,CC0,PSN00101,,,,,,,,,,,,,,,,,,,,,
,PSN00102,,,,,,,,,DHARMA,CC0,PSN00102,,,,,,,,,,,,,,,,,,,,,
,PSN00103,,,,,,,,,DHARMA,CC0,PSN00103,,,,,,,,,,,,,,,,,,,,,
,PSN00104,,,,,,,,,DHARMA,CC0,PSN00104,,,,,,,,,,,,,,,,,,,,,
,PSN00105,,,,,,,,,DHARMA,CC0,PSN00105,,,,,,,,,,,,,,,,,,,,,
,PSN00106,,,,,,,,,DHARMA,CC0,PSN00106,,,,,,,,,,,,,,,,,,,,,
,PSN00107,,,,,,,,,DHARMA,CC0,PSN00107,,,,,,,,,,,,,,,,,,,,,
,PSN00108,,,,,,,,,DHARMA,CC0,PSN00108,,,,,,,,,,,,,,,,,,,,,
,PSN00109,,,,,,,,,DHARMA,CC0,PSN00109,,,,,,,,,,,,,,,,,,,,,
,PSN00110,,,,,,,,,DHARMA,CC0,PSN00110,,,,,,,,,,,,,,,,,,,,,
,PSN00111,,,,,,,,,DHARMA,CC0,PSN00111,,,,,,,,,,,,,,,,,,,,,
,PSN00112,,,,,,,,,DHARMA,CC0,PSN00112,,,,,,,,,,,,,,,,,,,,,
,PSN00113,,,,,,,,,DHARMA,CC0,PSN00113,,,,,,,,,,,,,,,,,,,,,
,PSN00114,,,,,,,,,DHARMA,CC0,PSN00114,,,,,,,,,,,,,,,,,,,,,
,PSN00115,,,,,,,,,DHARMA,CC0,PSN00115,,,,,,,,,,,,,,,,,,,,,
,PSN00116,,,,,,,,,DHARMA,CC0,PSN00116,,,,,,,,,,,,,,,,,,,,,
,PSN00117,,,,,,,,,DHARMA,CC0,PSN00117,,,,,,,,,,,,,,,,,,,,,
,PSN00118,,,,,,,,,DHARMA,CC0,PSN00118,,,,,,,,,,,,,,,,,,,,,
,PSN00119,,,,,,,,,DHARMA,CC0,PSN00119,,,,,,,,,,,,,,,,,,,,,
,PSN00120,,,,,,,,,DHARMA,CC0,PSN00120,,,,,,,,,,,,,,,,,,,,,
,PSN00121,,,,,,,,,DHARMA,CC0,PSN00121,,,,,,,,,,,,,,,,,,,,,
,PSN00122,,,,,,,,,DHARMA,CC0,PSN00122,,,,,,,,,,,,,,,,,,,,,
,PSN00123,,,,,,,,,DHARMA,CC0,PSN00123,,,,,,,,,,,,,,,,,,,,,
,PSN00124,,,,,,,,,DHARMA,CC0,PSN00124,,,,,,,,,,,,,,,,,,,,,
,PSN00125,,,,,,,,,DHARMA,CC0,PSN00125,,,,,,,,,,,,,,,,,,,,,
,PSN00126,,,,,,,,,DHARMA,CC0,PSN00126,,,,,,,,,,,,,,,,,,,,,
,PSN00127,,,,,,,,,DHARMA,CC0,PSN00127,,,,,,,,,,,,,,,,,,,,,
,PSN00128,,,,,,,,,DHARMA,CC0,PSN00128,,,,,,,,,,,,,,,,,,,,,
,PSN00129,,,,,,,,,DHARMA,CC0,PSN00129,,,,,,,,,,,,,,,,,,,,,
,PSN00130,,,,,,,,,DHARMA,CC0,PSN00130,,,,,,,,,,,,,,,,,,,,,
,PSN00131,,,,,,,,,DHARMA,CC0,PSN00131,,,,,,,,,,,,,,,,,,,,,
,PSN00132,,,,,,,,,DHARMA,CC0,PSN00132,,,,,,,,,,,,,,,,,,,,,
,PSN00133,,,,,,,,,DHARMA,CC0,PSN00133,,,,,,,,,,,,,,,,,,,,,
,PSN00134,,,,,,,,,DHARMA,CC0,PSN00134,,,,,,,,,,,,,,,,,,,,,
,PSN00135,,,,,,,,,DHARMA,CC0,PSN00135,,,,,,,,,,,,,,,,,,,,,
,PSN00136,,,,,,,,,DHARMA,CC0,PSN00136,,,,,,,,,,,,,,,,,,,,,
,PSN00137,,,,,,,,,DHARMA,CC0,PSN00137,,,,,,,,,,,,,,,,,,,,,
,PSN00138,,,,,,,,,DHARMA,CC0,PSN00138,,,,,,,,,,,,,,,,,,,,,
,PSN00139,,,,,,,,,DHARMA,CC0,PSN00139,,,,,,,,,,,,,,,,,,,,,
,PSN00140,,,,,,,,,DHARMA,CC0,PSN00140,,,,,,,,,,,,,,,,,,,,,
,PSN00141,,,,,,,,,DHARMA,CC0,PSN00141,,,,,,,,,,,,,,,,,,,,,
,PSN00142,,,,,,,,,DHARMA,CC0,PSN00142,,,,,,,,,,,,,,,,,,,,,
,PSN00143,,,,,,,,,DHARMA,CC0,PSN00143,,,,,,,,,,,,,,,,,,,,,
,PSN00144,,,,,,,,,DHARMA,CC0,PSN00144,,,,,,,,,,,,,,,,,,,,,
,PSN00145,,,,,,,,,DHARMA,CC0,PSN00145,,,,,,,,,,,,,,,,,,,,,
,PSN00146,,,,,,,,,DHARMA,CC0,PSN00146,,,,,,,,,,,,,,,,,,,,,
,PSN00147,,,,,,,,,DHARMA,CC0,PSN00147,,,,,,,,,,,,,,,,,,,,,
,PSN00148,,,,,,,,,DHARMA,CC0,PSN00148,,,,,,,,,,,,,,,,,,,,,
,PSN00149,,,,,,,,,DHARMA,CC0,PSN00149,,,,,,,,,,,,,,,,,,,,,
,PSN00150,,,,,,,,,DHARMA,CC0,PSN00150,,,,,,,,,,,,,,,,,,,,,
,PSN00151,,,,,,,,,DHARMA,CC0,PSN00151,,,,,,,,,,,,,,,,,,,,,
,PSN00152,,,,,,,,,DHARMA,CC0,PSN00152,,,,,,,,,,,,,,,,,,,,,
,PSN00153,,,,,,,,,DHARMA,CC0,PSN00153,,,,,,,,,,,,,,,,,,,,,
,PSN00154,,,,,,,,,DHARMA,CC0,PSN00154,,,,,,,,,,,,,,,,,,,,,
,PSN00155,,,,,,,,,DHARMA,CC0,PSN00155,,,,,,,,,,,,,,,,,,,,,
,PSN00156,,,,,,,,,DHARMA,CC0,PSN00156,,,,,,,,,,,,,,,,,,,,,
,PSN00157,,,,,,,,,DHARMA,CC0,PSN00157,,,,,,,,,,,,,,,,,,,,,
,PSN00158,,,,,,,,,DHARMA,CC0,PSN00158,,,,,,,,,,,,,,,,,,,,,
,PSN00159,,,,,,,,,DHARMA,CC0,PSN00159,,,,,,,,,,,,,,,,,,,,,
,PSN00160,,,,,,,,,DHARMA,CC0,PSN00160,,,,,,,,,,,,,,,,,,,,,
,PSN00161,,,,,,,,,DHARMA,CC0,PSN00161,,,,,,,,,,,,,,,,,,,,,
,PSN00162,,,,,,,,,DHARMA,CC0,PSN00162,,,,,,,,,,,,,,,,,,,,,
,PSN00163,,,,,,,,,DHARMA,CC0,PSN00163,,,,,,,,,,,,,,,,,,,,,
,PSN00164,,,,,,,,,DHARMA,CC0,PSN00164,,,,,,,,,,,,,,,,,,,,,
,PSN00165,,,,,,,,,DHARMA,CC0,PSN00165,,,,,,,,,,,,,,,,,,,,,
,PSN00166,,,,,,,,,DHARMA,CC0,PSN00166,,,,,,,,,,,,,,,,,,,,,
,PSN00167,,,,,,,,,DHARMA,CC0,PSN00167,,,,,,,,,,,,,,,,,,,,,
,PSN00168,,,,,,,,,DHARMA,CC0,PSN00168,,,,,,,,,,,,,,,,,,,,,
,PSN00169,,,,,,,,,DHARMA,CC0,PSN00169,,,,,,,,,,,,,,,,,,,,,
,PSN00170,,,,,,,,,DHARMA,CC0,PSN00170,,,,,,,,,,,,,,,,,,,,,
,PSN00171,,,,,,,,,DHARMA,CC0,PSN00171,,,,,,,,,,,,,,,,,,,,,
,PSN00172,,,,,,,,,DHARMA,CC0,PSN00172,,,,,,,,,,,,,,,,,,,,,
,PSN00173,,,,,,,,,DHARMA,CC0,PSN00173,,,,,,,,,,,,,,,,,,,,,
,PSN00174,,,,,,,,,DHARMA,CC0,PSN00174,,,,,,,,,,,,,,,,,,,,,
,PSN00175,,,,,,,,,DHARMA,CC0,PSN00175,,,,,,,,,,,,,,,,,,,,,
,PSN00176,,,,,,,,,DHARMA,CC0,PSN00176,,,,,,,,,,,,,,,,,,,,,
,PSN00177,,,,,,,,,DHARMA,CC0,PSN00177,,,,,,,,,,,,,,,,,,,,,
,PSN00178,,,,,,,,,DHARMA,CC0,PSN00178,,,,,,,,,,,,,,,,,,,,,
,PSN00179,,,,,,,,,DHARMA,CC0,PSN00179,,,,,,,,,,,,,,,,,,,,,
,PSN00180,,,,,,,,,DHARMA,CC0,PSN00180,,,,,,,,,,,,,,,,,,,,,
,PSN00181,,,,,,,,,DHARMA,CC0,PSN00181,,,,,,,,,,,,,,,,,,,,,
,PSN00182,,,,,,,,,DHARMA,CC0,PSN00182,,,,,,,,,,,,,,,,,,,,,
,PSN00183,,,,,,,,,DHARMA,CC0,PSN00183,,,,,,,,,,,,,,,,,,,,,
,PSN00184,,,,,,,,,DHARMA,CC0,PSN00184,,,,,,,,,,,,,,,,,,,,,
,PSN00185,,,,,,,,,DHARMA,CC0,PSN00185,,,,,,,,,,,,,,,,,,,,,
,PSN00186,,,,,,,,,DHARMA,CC0,PSN00186,,,,,,,,,,,,,,,,,,,,,
,PSN00187,,,,,,,,,DHARMA,CC0,PSN00187,,,,,,,,,,,,,,,,,,,,,
,PSN00188,,,,,,,,,DHARMA,CC0,PSN00188,,,,,,,,,,,,,,,,,,,,,
,PSN00189,,,,,,,,,DHARMA,CC0,PSN00189,,,,,,,,,,,,,,,,,,,,,
,PSN00190,,,,,,,,,DHARMA,CC0,PSN00190,,,,,,,,,,,,,,,,,,,,,
,PSN00191,,,,,,,,,DHARMA,CC0,PSN00191,,,,,,,,,,,,,,,,,,,,,
,PSN00192,,,,,,,,,DHARMA,CC0,PSN00192,,,,,,,,,,,,,,,,,,,,,
,PSN00193,,,,,,,,,DHARMA,CC0,PSN00193,,,,,,,,,,,,,,,,,,,,,
,PSN00194,,,,,,,,,DHARMA,CC0,PSN00194,,,,,,,,,,,,,,,,,,,,,
,PSN00195,,,,,,,,,DHARMA,CC0,PSN00195,,,,,,,,,,,,,,,,,,,,,
